example_id                                                             | status  | run_time        |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:3:1]         | passed  | 0.01295 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:1:1]         | passed  | 0.00732 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:2:1]         | passed  | 0.00617 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:2:1]             | passed  | 0.00148 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1]                     | passed  | 0.00651 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1]                     | passed  | 0.00675 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:1]                 | passed  | 0.01024 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:2]                 | passed  | 0.01001 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:3]                 | passed  | 0.00968 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:2:1]                 | passed  | 0.00927 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:1:1]               | passed  | 0.01101 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:2:1]               | passed  | 0.00887 seconds |
./spec/controllers/users_controller_spec.rb[1:3:2]                     | passed  | 0.01025 seconds |
./spec/helpers/checkout_helper_spec.rb[1:1:1]                          | passed  | 0.00066 seconds |
./spec/helpers/checkout_helper_spec.rb[1:1:2]                          | passed  | 0.00189 seconds |
./spec/helpers/order_helper_spec.rb[1:1]                               | passed  | 0.00156 seconds |
./spec/helpers/spree/base_helper_spec.rb[1:1]                          | passed  | 0.01172 seconds |
./spec/helpers/taxon_filters_helper_spec.rb[1:1]                       | passed  | 0.00707 seconds |
./spec/helpers/taxons_helper_spec.rb[1:1:1]                            | passed  | 0.07083 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:1]                          | passed  | 0.01442 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:2]                          | passed  | 0.01033 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:2:1]                          | passed  | 0.00896 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2:1]                            | passed  | 0.0288 seconds  |
./spec/requests/cart_line_items_ability_spec.rb[1:1:1:1]               | passed  | 0.08071 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:1]                         | passed  | 0.05368 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:1]                       | passed  | 0.0627 seconds  |
./spec/requests/cart_line_items_spec.rb[1:1:2:2:1]                     | passed  | 0.0467 seconds  |
./spec/requests/cart_line_items_spec.rb[1:1:2:3:1]                     | passed  | 0.06286 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:4:1]                     | passed  | 0.05485 seconds |
./spec/requests/carts_ability_spec.rb[1:1:1:1]                         | passed  | 0.01971 seconds |
./spec/requests/carts_ability_spec.rb[1:1:2:1]                         | passed  | 0.02026 seconds |
./spec/requests/carts_ability_spec.rb[1:1:3:1]                         | passed  | 0.02274 seconds |
./spec/requests/carts_spec.rb[1:1:1:1]                                 | passed  | 0.01944 seconds |
./spec/requests/carts_spec.rb[1:1:2:1]                                 | passed  | 0.0177 seconds  |
./spec/requests/carts_spec.rb[1:2:1:1]                                 | passed  | 0.07496 seconds |
./spec/requests/carts_spec.rb[1:2:1:2]                                 | passed  | 0.06266 seconds |
./spec/requests/carts_spec.rb[1:2:1:3]                                 | passed  | 0.09086 seconds |
./spec/requests/carts_spec.rb[1:3:1]                                   | passed  | 0.0872 seconds  |
./spec/requests/carts_spec.rb[1:4:1]                                   | passed  | 0.07144 seconds |
./spec/requests/checkout_with_views_spec.rb[1:1:1:1]                   | passed  | 0.12679 seconds |
./spec/requests/checkouts_spec.rb[1:1:1]                               | passed  | 0.07748 seconds |
./spec/requests/checkouts_spec.rb[1:1:2]                               | passed  | 0.06381 seconds |
./spec/requests/checkouts_spec.rb[1:1:3]                               | passed  | 0.05899 seconds |
./spec/requests/checkouts_spec.rb[1:1:4]                               | passed  | 0.05716 seconds |
./spec/requests/checkouts_spec.rb[1:1:5]                               | passed  | 0.05814 seconds |
./spec/requests/checkouts_spec.rb[1:2:1]                               | passed  | 0.09955 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:1]                           | passed  | 0.09022 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:2]                           | passed  | 0.09473 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:3]                           | passed  | 0.09049 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:4:1]                         | passed  | 0.11278 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:2:1:1]                         | passed  | 0.10185 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:2:2:1]                         | passed  | 0.11022 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:2:2:2]                         | passed  | 0.09574 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:3:1]                           | passed  | 0.08538 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:4:1:1]                         | passed  | 0.07105 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:4:2:1]                         | passed  | 0.75766 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:4:3:1]                         | passed  | 0.08321 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:5:1]                           | passed  | 0.10394 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:5:2]                           | passed  | 0.14627 seconds |
